Sprint_ID,Sprint_Number,Planned_Story_Points_Sprint,Completed_Story_Points,Percent_Done,Days_Remaining_Sprint,Historical_Velocity,Blocked_Stories,Scope_Change,Success_Label,Assignee,Planned_Story_Points_Resource,Current_Assigned_SP,Historical_Avg_SP,Remaining_Days_Resource,High_Priority_Tasks_Resource,Current_Workload_Percent,Expected_Overload,Issue_ID,Issue_Type,Priority,Original_Estimate_Hours,Story_Points_Issue,Description_Issue,Resolution_Time_Hours,Total_SP_This_Sprint,Historical_Avg_SP_Burnout,High_Priority_Tasks_Burnout,Consecutive_Overloads,Risk_Flag,Summary,Description_Resource,Labels,Original_Estimate_Resource,Story_Points_Resource,Assignee_Resource,Resolution_Time_Resource
SP9809,22,35.31,32.1,90.91,4.43,62.88,0.95,-1.07,0.82,Eve,51.57,53.68,31.69,7.22,1.99,102.61,0.49,ISS9238,Task,Medium,1.0,7.2,Performance fix,4.38,37.36,26.99,0.68,2.19,0.31,Load testing,Performance issue,Refactor,6.34,5.98,Alice,8.16
SP6398,27,52.49,36.24,69.04,1.96,46.85,0.81,2.17,0.63,Henry,30.78,39.44,44.41,9.01,1.94,107.24,0.46,ISS1405,Task,Medium,1.78,3.23,Write tests,3.03,37.78,46.84,1.46,0.01,0.04,Security patch,Performance issue,DevOps,2.55,4.68,Alice,14.29
SP5633,35,46.19,43.01,93.12,3.95,63.08,0.13,1.57,0.76,Eve,40.87,26.52,34.92,5.9,2.32,107.82,0.41,ISS6239,Task,Low,2.19,8.21,Refactor code,5.24,42.28,44.81,0.11,1.55,0.03,Fix bug,Performance issue,Performance,1.0,5.87,Carol,9.71
SP3770,12,69.67,55.68,79.92,2.95,25.15,0.17,7.7,0.38,Carol,44.93,41.83,41.24,2.44,0.87,95.69,0.32,ISS8214,Task,Medium,3.94,7.7,Refactor code,3.92,38.05,43.95,0.44,2.24,0.0,Security patch,Regression fix,DevOps,1.65,5.43,Alice,3.8
SP3680,2,31.54,24.99,79.23,4.1,20.0,1.29,4.09,0.51,Henry,40.08,35.9,49.34,5.37,2.53,99.41,0.48,ISS9776,Bug,High,10.38,8.42,Update UI,18.54,53.69,52.56,1.51,3.0,0.04,Resolve blocker,Performance issue,DevOps,10.94,3.69,Alice,14.93
SP1218,7,43.59,32.61,74.81,2.36,51.92,0.11,-2.0,0.52,Grace,43.42,32.0,31.24,7.32,2.39,115.59,0.55,ISS2900,Bug,Low,14.39,5.67,Fix bug,11.96,39.93,49.76,0.16,0.22,0.05,API integration,New module,Backend,2.73,6.43,Frank,8.66
SP5075,35,40.15,31.63,78.78,5.02,60.12,2.1,1.68,0.69,Bob,45.02,30.17,31.48,5.23,2.56,60.11,0.32,ISS1210,Bug,Medium,2.44,8.3,Refactor code,5.82,35.4,35.25,1.77,0.21,0.0,Develop feature,New module,Testing,13.38,6.65,Alice,12.3
SP5701,23,64.3,52.39,81.48,6.64,46.76,5.0,1.16,0.69,Carol,46.13,56.81,30.62,6.59,1.41,129.02,0.53,ISS9073,Bug,High,6.31,3.49,Write tests,12.62,45.22,44.1,1.1,1.8,0.05,Refactor module,Tech debt,Security,1.0,3.42,David,16.42
SP7205,16,51.11,39.36,77.01,3.11,45.51,1.26,1.45,0.78,Frank,41.4,34.2,47.62,5.62,2.02,98.59,0.35,ISS7639,Story,High,12.52,6.11,Add feature,21.05,42.26,45.53,0.51,1.99,0.07,Add unit tests,User request,Feature,1.0,5.14,David,10.56
SP7761,29,32.79,28.39,86.58,8.43,73.72,1.67,1.39,0.61,Carol,35.24,36.87,46.82,7.21,1.24,111.38,0.42,ISS7249,Story,Medium,1.37,4.5,Update UI,6.12,34.26,42.04,0.46,1.45,0.06,Database migration,Tech debt,Bug,1.09,7.79,David,20.28
SP3784,36,71.79,56.65,78.91,5.55,59.21,1.41,12.17,0.68,Henry,44.37,40.33,20.84,5.57,0.0,106.33,0.45,ISS2695,Bug,High,5.67,3.03,Update UI,10.68,36.33,39.1,0.03,0.21,0.09,Develop feature,Regression fix,Performance,4.84,2.2,Alice,11.21
SP8952,5,26.31,19.51,74.15,5.27,53.2,4.54,-2.0,0.66,David,32.27,25.51,43.91,4.91,4.18,103.26,0.52,ISS4192,Story,Medium,3.22,6.84,Write tests,2.35,29.79,34.43,0.64,0.17,0.07,Refactor module,Critical bug,Bug,4.17,5.99,Henry,18.0
SP8395,8,54.06,35.66,65.96,4.66,52.0,1.45,0.57,0.59,Grace,35.76,34.79,37.04,8.11,1.58,101.29,0.39,ISS3247,Task,High,1.69,1.82,Refactor code,4.22,49.84,46.29,1.61,1.24,0.08,Add unit tests,New module,Security,4.14,5.66,David,10.96
SP4245,3,36.77,21.95,59.7,6.82,37.0,2.38,-2.0,0.6,Carol,33.45,53.69,38.07,3.66,2.06,106.96,0.54,ISS1124,Bug,Medium,2.71,2.55,Write tests,2.98,30.6,28.82,0.78,0.97,0.02,Resolve blocker,Critical bug,Performance,10.55,7.36,Carol,11.59
SP2737,33,52.97,36.27,68.47,1.66,30.86,1.45,-2.0,0.64,Carol,32.67,38.41,51.27,5.85,1.7,99.48,0.42,ISS3097,Task,Low,3.77,1.55,Fix bug,5.27,39.52,40.78,0.36,0.13,0.0,Refactor module,Critical bug,DevOps,1.0,6.95,Eve,11.39
SP4935,38,50.57,45.6,90.17,5.2,38.4,0.13,4.08,0.69,Carol,39.26,56.6,46.67,6.01,1.11,110.52,0.52,ISS7032,Bug,Medium,2.03,6.41,Fix bug,8.24,23.18,36.29,0.86,1.87,0.01,Improve performance,Performance issue,Security,1.0,7.72,Henry,12.31
SP7582,8,44.74,26.99,60.33,5.65,39.05,2.48,-1.67,0.55,Grace,43.71,51.87,41.35,4.92,0.3,128.6,0.58,ISS4950,Story,Medium,10.2,5.34,Fix bug,15.98,37.09,32.9,1.96,1.11,0.16,Develop feature,Performance issue,Backend,1.0,3.22,Alice,13.01
SP5888,25,23.78,13.46,56.6,4.84,25.12,5.0,4.57,0.47,Frank,44.37,49.77,56.96,5.68,3.51,94.97,0.32,ISS8088,Bug,Low,1.69,1.0,Add feature,2.35,47.83,35.91,0.21,0.21,0.0,Update UI,Performance issue,Testing,1.0,6.94,Carol,9.35
SP8194,38,38.83,32.5,83.7,0.0,45.64,2.04,-2.0,0.69,Eve,39.21,18.99,45.73,3.36,1.92,118.17,0.58,ISS3372,Task,High,14.21,2.47,Update UI,17.12,33.78,37.9,0.17,0.83,0.09,Add unit tests,Regression fix,Backend,1.75,5.55,Bob,7.51
SP3477,20,42.81,36.26,84.7,2.98,57.33,1.72,0.31,0.69,David,43.06,12.48,31.19,5.38,0.91,92.13,0.35,ISS2736,Story,High,2.01,4.65,Write tests,7.41,49.36,45.14,0.35,1.58,0.01,Update UI,Regression fix,Testing,1.0,3.29,Alice,9.49
SP1190,30,37.82,31.2,82.5,4.27,41.16,2.3,-0.89,0.79,Grace,37.64,45.0,32.78,5.22,2.6,113.82,0.56,ISS7045,Story,Low,5.11,4.36,Add feature,5.99,44.48,43.92,0.04,0.45,0.11,API integration,New module,UI,2.44,3.4,David,7.47
SP6867,13,62.72,54.67,87.17,4.56,48.43,0.14,-0.15,0.72,Henry,35.29,43.27,30.53,2.98,0.09,105.38,0.37,ISS5371,Story,Low,4.3,8.22,Write tests,7.0,46.43,32.75,1.03,2.97,0.31,Fix bug,User request,UI,10.12,5.65,Alice,9.01
SP1943,25,46.26,38.22,82.62,7.33,75.0,0.96,6.52,0.77,Alice,32.95,27.74,42.3,6.88,1.02,108.78,0.46,ISS4263,Bug,Low,2.3,5.27,Update UI,4.95,39.05,38.4,1.58,3.0,0.25,Refactor module,User request,Testing,11.14,4.8,Carol,9.41
SP2847,13,38.78,22.17,57.17,6.8,53.79,2.12,4.7,0.53,Eve,35.58,52.16,47.62,6.99,2.83,85.6,0.32,ISS1314,Bug,Medium,9.98,5.66,Add feature,14.19,38.94,46.47,1.16,0.71,0.07,Database migration,Critical bug,Bug,3.72,3.61,Frank,11.13
SP1895,34,56.02,33.54,59.87,3.56,61.55,3.01,2.26,0.38,Henry,47.66,13.04,41.07,7.26,3.59,121.34,0.41,ISS1337,Story,High,1.8,3.29,Refactor code,4.38,24.18,34.45,0.49,0.19,0.0,API integration,New module,Performance,2.3,8.41,Eve,11.98
SP2000,3,43.7,32.86,75.19,5.83,43.36,2.82,3.67,0.62,Henry,43.84,45.24,37.11,2.29,2.32,107.63,0.5,ISS5239,Task,Medium,1.46,3.92,Update UI,1.0,30.44,44.97,3.0,0.12,0.21,Database migration,Tech debt,Testing,1.48,9.44,Henry,13.98
SP5578,25,33.52,22.36,66.71,4.88,47.1,0.5,4.82,0.6,Alice,48.76,50.92,42.03,6.54,2.82,103.06,0.42,ISS1589,Bug,Medium,17.27,3.28,Update UI,18.21,43.44,46.96,0.16,2.01,0.14,Develop feature,Tech debt,DevOps,1.0,2.17,Carol,16.92
SP2087,18,44.16,25.53,57.81,4.92,55.68,0.07,9.37,0.55,Eve,38.85,19.34,53.19,4.89,0.97,85.27,0.43,ISS4268,Task,Medium,1.0,1.0,Update UI,1.0,44.6,42.37,0.3,2.25,0.03,Load testing,Tech debt,Testing,17.67,5.35,Carol,6.6
SP5438,24,72.64,48.15,66.29,3.48,29.42,0.32,4.16,0.4,Eve,21.67,53.02,34.08,4.43,1.83,98.94,0.46,ISS6391,Task,High,1.0,1.0,Fix bug,2.44,31.46,37.52,0.89,1.42,0.0,Develop feature,User request,Security,6.52,7.61,Frank,15.74
SP7199,30,50.65,43.95,86.77,5.62,45.39,1.27,7.5,0.59,Frank,38.9,29.73,37.69,5.2,1.34,98.29,0.41,ISS2538,Bug,Medium,7.19,5.33,Write tests,10.8,34.32,47.37,0.82,3.0,0.15,Resolve blocker,New module,Security,18.4,3.28,Frank,9.7
SP2241,35,54.34,40.06,73.72,7.78,50.59,0.2,5.95,0.58,David,27.73,48.62,34.8,6.27,1.48,105.88,0.48,ISS3741,Story,Low,1.45,2.41,Refactor code,4.54,43.3,42.63,0.34,0.2,0.02,Refactor module,New module,Security,17.68,8.81,Frank,8.44
SP6378,24,54.51,41.11,75.42,6.21,40.75,2.69,2.95,0.57,Eve,30.69,40.83,41.41,6.57,1.25,113.39,0.45,ISS5075,Story,Low,1.0,7.16,Write tests,6.34,37.3,41.57,0.71,0.88,0.12,Improve performance,Performance issue,Bug,3.45,4.89,Henry,11.39
SP2193,19,55.2,41.01,74.29,4.61,53.14,2.9,-0.78,0.55,Bob,42.91,23.44,43.59,5.66,2.31,95.25,0.31,ISS8338,Story,High,5.77,7.16,Performance fix,9.06,46.27,42.43,0.31,1.73,0.13,Security patch,Critical bug,UI,3.36,8.45,Alice,10.6
SP6602,27,62.81,47.96,76.36,3.64,64.36,0.3,4.28,0.71,Grace,29.56,45.15,32.13,5.18,3.69,110.69,0.53,ISS2706,Task,Medium,9.89,4.68,Performance fix,8.35,31.01,45.22,1.72,1.6,0.03,Load testing,Regression fix,UI,4.88,5.28,Frank,16.8
SP7467,27,35.65,22.26,62.44,6.21,63.13,1.04,7.08,0.69,David,40.98,51.1,39.09,7.52,2.4,92.32,0.48,ISS3289,Story,Low,4.8,6.25,Refactor code,8.5,30.69,44.68,0.58,0.51,0.04,Update UI,Tech debt,Feature,2.13,5.62,Frank,3.35
SP7411,17,65.14,45.88,70.43,5.23,70.98,0.24,3.94,0.67,Henry,37.93,38.9,37.38,4.55,2.41,71.5,0.4,ISS2013,Story,Low,1.88,1.62,Performance fix,1.8,54.63,35.08,0.35,0.31,0.25,API integration,Regression fix,Backend,1.32,2.69,Bob,11.92
SP1830,14,46.31,33.77,72.92,6.89,44.33,0.1,9.62,0.66,Alice,42.03,22.8,39.54,6.27,0.99,102.01,0.36,ISS9124,Story,Low,7.97,7.32,Fix bug,11.37,28.05,43.25,0.45,0.5,0.13,Database migration,Performance issue,Testing,1.26,6.55,Henry,14.43
SP2827,27,25.16,21.16,84.1,7.14,47.12,0.74,-0.25,0.66,Bob,34.92,27.82,33.89,4.38,0.0,82.32,0.35,ISS6716,Task,Low,14.33,4.21,Write tests,10.82,49.99,49.5,0.83,1.82,0.06,Improve performance,Critical bug,UI,1.85,7.2,Grace,12.28
SP3974,33,35.52,19.46,54.79,7.08,35.5,1.37,4.14,0.58,Eve,33.18,36.59,38.49,9.29,1.12,80.36,0.27,ISS1686,Story,Medium,9.41,8.69,Fix bug,16.06,44.07,46.99,1.49,0.58,0.07,Load testing,Tech debt,Refactor,1.89,7.14,Carol,9.82
SP1974,7,46.57,33.8,72.58,6.08,49.63,1.62,2.49,0.59,Bob,36.7,28.41,55.64,3.3,0.86,103.56,0.31,ISS5301,Story,Low,2.98,5.49,Add feature,4.4,30.96,42.57,0.17,0.52,0.01,Resolve blocker,Performance issue,Refactor,2.3,5.29,Eve,8.09
SP5348,5,41.9,33.34,79.57,8.44,46.17,1.3,0.31,0.66,David,43.4,36.17,34.07,3.99,3.44,89.88,0.41,ISS2271,Bug,High,6.31,6.85,Write tests,15.57,50.1,44.85,0.62,0.33,0.09,Improve performance,Critical bug,Testing,4.68,4.7,Henry,5.44
SP6168,29,53.94,49.89,92.49,9.44,23.31,0.2,-1.07,0.65,Bob,44.08,50.51,39.01,5.16,1.15,98.45,0.47,ISS9595,Bug,High,4.98,5.2,Add feature,11.28,56.26,44.52,0.93,0.15,0.05,Refactor module,Regression fix,DevOps,1.0,5.86,Bob,12.88
SP1748,21,54.46,34.13,62.67,4.28,46.77,2.48,0.34,0.54,Grace,50.07,46.0,27.4,6.66,4.4,108.57,0.6,ISS4585,Bug,Low,2.21,4.52,Add feature,3.42,45.09,35.25,0.51,0.73,0.2,Improve performance,User request,Security,1.19,6.13,Grace,12.43
SP6748,36,76.1,64.97,85.37,2.72,61.94,0.55,2.52,0.65,Bob,37.69,56.17,18.52,2.52,2.55,96.6,0.58,ISS3970,Story,Medium,11.4,2.56,Fix bug,11.9,44.27,27.61,0.84,0.84,0.18,Add unit tests,Tech debt,Security,4.14,4.85,Carol,11.19
SP5348,40,41.79,36.24,86.72,7.17,47.06,0.94,3.34,0.66,Alice,27.28,37.64,40.08,7.1,1.43,99.0,0.42,ISS9083,Story,High,5.05,6.44,Write tests,10.23,22.2,35.54,0.73,0.3,0.05,Update UI,Tech debt,Testing,2.7,4.44,Grace,11.67
SP8341,29,22.09,15.99,72.39,4.67,59.89,0.57,1.03,0.6,Alice,29.72,42.58,45.27,9.12,4.07,78.02,0.42,ISS2422,Story,High,2.43,1.37,Performance fix,2.86,45.19,45.03,0.13,3.0,0.07,Database migration,Regression fix,Feature,1.17,10.27,Bob,15.4
SP2979,6,52.75,33.04,62.64,7.94,43.92,0.54,6.12,0.62,Alice,26.99,44.88,33.11,7.25,1.15,110.23,0.5,ISS2206,Bug,High,4.59,4.99,Performance fix,6.94,32.72,40.56,0.3,2.17,0.05,Security patch,User request,Performance,3.08,7.73,Alice,11.66
SP7323,1,42.61,31.98,75.05,3.73,50.07,0.17,4.56,0.82,Alice,41.76,39.97,31.01,8.53,2.83,103.54,0.44,ISS7169,Bug,Medium,6.12,4.75,Add feature,8.63,23.7,43.4,0.01,2.8,0.08,Load testing,User request,Feature,3.21,6.96,David,12.52
SP3159,10,26.51,19.92,75.14,4.05,45.97,1.39,3.54,0.58,Carol,37.08,39.39,24.13,5.81,0.75,97.02,0.41,ISS8249,Bug,High,2.72,3.65,Performance fix,6.5,45.22,47.16,0.88,1.07,0.02,Resolve blocker,Regression fix,Performance,9.43,3.93,Alice,11.58
SP9059,21,34.54,24.47,70.85,5.12,33.2,0.47,3.33,0.72,Grace,29.03,74.39,32.74,9.96,0.99,118.78,0.64,ISS5098,Bug,Low,2.26,5.42,Fix bug,3.14,38.98,39.78,1.66,2.25,0.11,Resolve blocker,Regression fix,Feature,1.59,6.36,Alice,13.68
SP8773,39,30.51,23.89,78.3,2.42,66.14,1.16,9.78,0.62,Alice,46.7,33.35,43.14,2.0,2.12,81.11,0.46,ISS2182,Task,High,1.0,7.11,Write tests,4.69,38.13,38.81,1.82,0.38,0.0,Security patch,User request,Performance,3.04,3.09,Henry,11.5
SP4886,36,55.07,45.84,83.24,1.8,32.19,2.57,0.88,0.49,Carol,38.06,31.33,32.32,6.22,3.69,113.06,0.57,ISS7343,Story,Medium,1.0,5.71,Performance fix,3.94,36.7,36.5,0.34,0.01,0.0,Fix bug,Performance issue,Testing,1.3,3.04,Eve,14.84
SP1295,15,37.43,33.86,90.46,2.69,55.16,0.92,2.02,0.8,Grace,35.13,56.45,42.89,2.0,2.84,101.04,0.63,ISS3313,Bug,Low,2.52,5.08,Fix bug,3.64,40.45,42.78,0.19,0.06,0.0,Database migration,Tech debt,UI,6.53,5.57,Carol,13.78
SP2394,19,54.4,43.63,80.2,3.76,51.53,1.03,6.71,0.88,Carol,36.33,15.13,33.78,7.95,0.92,112.85,0.45,ISS6999,Task,Low,6.45,1.44,Performance fix,6.05,27.96,45.01,0.3,3.0,0.25,API integration,New module,Bug,3.29,7.95,Frank,15.14
SP1938,40,43.16,30.3,70.2,2.12,75.07,0.72,-2.0,0.71,David,31.92,41.37,39.38,4.57,0.0,92.94,0.33,ISS3156,Task,Low,20.15,8.77,Performance fix,14.89,38.96,49.72,0.38,0.0,0.05,Database migration,New module,Testing,1.53,3.94,Frank,13.92
SP7837,29,38.75,28.53,73.63,3.93,31.28,1.07,7.0,0.63,Frank,42.34,26.6,44.05,5.4,4.96,88.78,0.51,ISS9935,Story,Medium,3.08,1.07,Refactor code,1.0,42.29,43.07,0.43,0.52,0.07,Load testing,Tech debt,Testing,1.79,6.42,Alice,10.97
SP2028,27,37.24,28.76,77.23,8.93,52.98,1.96,7.81,0.57,Henry,40.47,57.82,54.8,10.7,1.46,80.41,0.26,ISS1637,Story,Medium,2.2,5.44,Add feature,5.38,36.58,46.87,0.48,0.86,0.11,Improve performance,Performance issue,Refactor,10.46,8.89,David,8.09
SP2227,19,51.05,42.82,83.88,7.06,60.57,4.38,3.12,0.77,Bob,40.36,60.99,49.17,5.58,4.06,96.84,0.57,ISS5435,Story,Medium,5.74,1.86,Fix bug,6.96,29.21,41.61,0.47,0.27,0.0,Improve performance,Critical bug,UI,1.0,8.36,Alice,8.28
SP5812,36,36.18,21.37,59.07,5.45,45.43,1.42,5.72,0.5,Bob,46.38,34.41,46.02,4.16,4.0,109.55,0.54,ISS5870,Story,High,1.63,7.98,Write tests,4.31,24.98,43.46,1.96,1.06,0.1,Database migration,Regression fix,Refactor,8.05,7.18,Carol,15.95
