Sprint_ID,Sprint_Number,Planned_Story_Points_Sprint,Completed_Story_Points,Percent_Done,Days_Remaining_Sprint,Historical_Velocity,Blocked_Stories,Scope_Change,Success_Label,Assignee,Planned_Story_Points_Resource,Current_Assigned_SP,Historical_Avg_SP,Remaining_Days_Resource,High_Priority_Tasks_Resource,Current_Workload_Percent,Expected_Overload,Issue_ID,Issue_Type,Priority,Original_Estimate_Hours,Story_Points_Issue,Description_Issue,Resolution_Time_Hours,Total_SP_This_Sprint,Historical_Avg_SP_Burnout,High_Priority_Tasks_Burnout,Consecutive_Overloads,Risk_Flag,Summary,Description_Resource,Labels,Original_Estimate_Resource,Story_Points_Resource,Assignee_Resource,Resolution_Time_Resource
SP1581,2,84.37,35.98,42.65,6.99,64.88,1.28,-1.85,0.5,Grace,26.92,10.0,30.93,7.59,2.66,120.89,0.42,ISS9641,Story,Low,1.0,6.28,Fix bug,1.89,57.18,11.49,0.07,3.89,0.56,Database migration,Performance issue,Testing,6.01,9.47,Alice,16.8
SP1132,24,86.32,58.22,67.45,6.64,72.51,1.37,0.06,0.48,Bob,53.96,48.36,39.12,4.23,1.14,128.77,0.39,ISS7586,Task,High,2.82,10.07,Add feature,18.63,40.88,31.47,0.75,2.84,0.24,Develop feature,New module,Backend,12.86,6.48,Frank,14.89
SP3838,30,36.49,17.18,47.08,6.27,70.12,2.61,5.75,0.42,Bob,40.83,25.66,47.84,4.85,2.55,136.06,0.44,ISS6303,Story,Low,1.0,11.01,Add feature,8.22,33.33,46.74,3.7,4.53,0.37,Fix bug,Tech debt,Bug,1.0,4.53,Grace,11.88
SP4385,38,45.33,14.27,31.48,1.06,61.68,5.21,10.09,0.24,Frank,36.36,54.31,38.98,7.64,0.12,143.9,0.42,ISS4116,Bug,Medium,9.76,1.23,Fix bug,12.36,28.95,47.66,2.84,2.34,0.22,API integration,Regression fix,Backend,15.78,9.13,Eve,11.26
SP4770,2,26.44,10.73,40.58,6.05,52.3,0.27,4.46,0.53,Henry,55.08,65.15,49.74,5.72,1.82,126.3,0.52,ISS6874,Bug,Low,11.55,8.34,Fix bug,15.66,49.61,38.65,3.73,4.65,0.55,Fix bug,User request,Performance,9.68,8.0,Grace,10.24
SP3268,21,32.56,12.17,37.38,-0.52,33.28,1.52,-2.32,0.37,Alice,46.98,45.93,38.7,6.02,1.94,131.87,0.28,ISS7970,Task,Medium,1.0,7.65,Fix bug,4.31,56.73,39.61,4.12,1.63,0.25,Code cleanup,Performance issue,Backend,11.0,8.47,Alice,8.89
SP1975,33,66.09,51.33,77.67,3.45,17.83,3.37,2.3,0.28,Carol,53.22,76.17,46.4,3.44,3.7,163.44,0.57,ISS9148,Bug,Low,3.9,7.05,Update UI,12.51,41.36,39.27,1.98,1.72,0.11,Develop feature,User request,Feature,3.39,4.13,Grace,9.49
SP8605,12,54.15,36.74,67.85,0.61,51.87,0.72,1.55,0.46,Eve,36.14,67.44,62.21,5.65,2.65,136.39,0.42,ISS9444,Bug,Low,8.21,6.46,Update UI,12.99,45.51,35.92,1.02,2.52,0.32,Improve performance,Critical bug,Security,10.4,6.28,Bob,18.36
SP8213,22,71.85,62.98,87.65,6.94,62.04,2.01,8.01,0.63,Grace,25.43,41.87,53.42,4.94,0.24,164.76,0.38,ISS2235,Task,Medium,2.22,12.39,Write tests,11.36,40.24,39.83,1.5,6.43,0.47,Resolve blocker,Regression fix,Backend,1.0,10.13,Grace,19.0
SP3835,25,37.02,33.21,89.71,4.3,10.0,1.86,-0.81,0.52,Eve,36.2,46.95,22.14,4.41,5.52,145.45,0.67,ISS1999,Task,High,4.65,4.0,Update UI,4.32,39.33,34.72,0.99,5.04,0.39,Refactor module,New module,UI,1.0,6.73,David,17.19
SP3738,27,41.77,23.1,55.3,-1.87,32.39,4.08,-0.02,0.44,David,43.07,62.98,48.98,5.5,2.73,120.09,0.4,ISS4760,Story,Low,10.52,1.0,Write tests,10.06,61.43,41.29,6.0,7.38,0.7,Improve performance,Tech debt,Testing,3.03,9.57,Carol,15.5
SP5134,28,58.9,35.25,59.85,2.97,34.75,1.48,5.34,0.48,Alice,45.61,50.34,50.18,3.82,4.66,121.82,0.4,ISS5116,Bug,High,3.22,7.8,Write tests,9.51,49.0,30.15,3.96,3.26,0.48,Database migration,New module,DevOps,5.74,8.21,Grace,14.66
SP7833,16,65.85,24.04,36.51,-0.33,47.19,3.79,4.18,0.3,Frank,36.36,47.49,50.44,6.91,2.88,130.72,0.38,ISS5411,Story,High,1.0,3.15,Performance fix,3.89,40.12,37.65,1.01,0.94,0.04,Update UI,Performance issue,Feature,4.44,11.46,Bob,21.04
SP9353,15,25.48,6.99,27.43,2.32,51.55,2.57,7.73,0.39,Grace,37.74,52.19,27.86,6.18,3.51,155.5,0.54,ISS6557,Task,Medium,15.33,1.0,Update UI,13.98,41.05,25.37,1.37,1.18,0.34,Add unit tests,Regression fix,Testing,6.35,10.17,Henry,14.79
SP2909,3,46.39,38.69,83.4,2.96,66.22,0.68,0.73,0.77,Grace,56.88,24.0,44.64,4.66,2.28,136.57,0.32,ISS6352,Story,Low,2.99,6.26,Refactor code,11.18,39.27,27.08,0.93,0.17,0.21,Update UI,User request,Backend,1.0,4.8,David,11.08
SP2963,37,55.99,45.34,80.98,5.96,30.26,2.18,10.1,0.37,Carol,42.04,53.16,33.3,3.29,2.17,156.54,0.59,ISS4683,Story,High,2.62,4.93,Fix bug,10.13,36.15,37.74,2.62,2.34,0.09,API integration,Regression fix,Performance,2.78,8.72,Grace,18.79
SP6153,7,61.74,33.63,54.47,6.7,55.16,4.85,7.18,0.52,Bob,69.88,84.3,37.39,4.62,2.55,94.62,0.52,ISS3261,Story,Medium,5.66,3.38,Write tests,11.96,46.28,29.0,1.51,1.75,0.41,Add unit tests,Performance issue,DevOps,4.33,8.39,Grace,18.63
SP1966,21,64.71,43.24,66.82,-0.27,29.19,2.26,4.16,0.42,Henry,40.9,51.81,45.56,3.89,0.0,108.31,0.28,ISS2853,Bug,Medium,10.59,3.32,Refactor code,12.24,25.93,37.76,1.49,4.29,0.17,Update UI,Performance issue,Refactor,1.69,9.69,Henry,10.45
SP1889,9,48.88,44.27,90.57,3.11,62.54,1.08,1.52,0.79,Alice,46.44,78.31,29.13,7.72,3.97,159.29,0.68,ISS9791,Bug,High,20.66,7.35,Refactor code,46.01,30.37,20.28,1.23,0.6,0.38,Code cleanup,Performance issue,Backend,2.03,7.16,Frank,18.46
SP4061,39,31.47,4.61,14.65,2.81,42.78,2.02,12.67,0.31,David,52.74,54.55,43.97,4.91,3.68,127.02,0.5,ISS7895,Bug,High,6.07,9.34,Add feature,20.77,36.33,23.95,1.45,2.26,0.26,Database migration,Regression fix,Backend,3.0,4.9,Grace,23.0
SP7461,18,21.12,10.75,50.9,0.16,31.82,1.17,6.22,0.37,Grace,40.03,64.92,30.88,6.63,1.66,155.09,0.59,ISS3990,Story,High,2.54,1.0,Update UI,5.37,48.65,35.89,1.2,1.87,0.39,Database migration,Critical bug,UI,6.82,2.88,Frank,15.68
SP7166,4,47.27,31.3,66.22,3.15,39.92,1.57,2.15,0.6,Carol,18.83,47.1,16.69,5.31,0.21,139.17,0.61,ISS1862,Story,Medium,3.46,8.61,Fix bug,9.71,34.25,23.15,5.58,0.94,0.27,API integration,Tech debt,Feature,10.58,5.97,Grace,18.43
SP7967,25,45.67,18.73,41.01,6.6,33.27,2.33,0.99,0.37,Henry,61.97,75.01,51.32,4.1,2.65,124.16,0.41,ISS5527,Bug,Low,6.91,10.01,Refactor code,15.28,61.62,32.02,3.37,1.53,0.48,Database migration,Critical bug,Feature,1.0,6.67,Frank,13.42
SP9101,14,38.06,22.6,59.38,0.85,51.38,2.83,9.26,0.47,Grace,43.23,58.31,35.59,7.46,0.7,125.97,0.47,ISS2219,Story,High,20.58,5.56,Refactor code,33.57,37.26,35.42,6.28,4.89,0.25,Fix bug,Critical bug,Security,1.0,10.56,Bob,16.57
SP8379,9,63.4,23.05,36.36,6.57,59.36,3.15,1.09,0.43,Eve,41.15,27.46,38.76,1.8,1.33,159.37,0.46,ISS4795,Bug,High,24.74,1.55,Fix bug,47.63,42.3,37.68,0.97,5.75,0.2,Refactor module,Performance issue,Backend,1.36,1.51,David,23.9
SP8280,26,32.79,8.84,26.96,-0.12,65.47,2.06,2.8,0.41,Carol,43.62,66.96,66.71,6.17,2.85,157.55,0.5,ISS1527,Story,Low,6.64,3.29,Write tests,8.65,53.38,35.38,1.13,2.82,0.3,Develop feature,New module,Refactor,6.19,5.06,Frank,16.16
SP2067,2,40.07,27.13,67.71,8.74,42.22,0.26,0.13,0.74,Carol,55.47,53.69,47.01,5.57,0.0,170.79,0.45,ISS8369,Task,Low,2.7,1.48,Fix bug,6.4,37.61,34.49,3.12,0.9,0.22,Improve performance,Tech debt,Bug,5.02,4.48,Eve,14.01
SP5223,20,67.5,30.94,45.84,3.9,70.82,3.35,2.99,0.57,Eve,50.11,40.3,49.51,6.16,2.01,151.54,0.5,ISS3922,Bug,Low,3.43,2.66,Update UI,5.15,60.56,39.23,1.99,2.03,0.26,Fix bug,Regression fix,Refactor,7.82,1.61,David,11.41
SP5607,28,38.38,16.83,43.85,1.73,49.63,2.61,6.7,0.46,Henry,31.25,41.6,40.44,4.5,5.99,105.87,0.39,ISS6849,Bug,High,16.66,6.27,Fix bug,31.02,43.2,22.39,1.69,3.71,0.62,Improve performance,Tech debt,Performance,11.3,10.6,Alice,14.24
SP4985,7,54.85,12.51,22.81,5.88,68.98,6.2,1.47,0.32,Carol,45.05,70.61,30.33,0.7,3.34,154.9,0.55,ISS2162,Bug,High,7.84,5.12,Fix bug,17.58,48.71,42.11,2.4,1.3,0.24,Security patch,Tech debt,Performance,13.37,8.9,David,12.94
SP4179,8,49.86,26.29,52.73,11.44,47.64,2.79,3.21,0.54,Henry,45.06,70.0,45.45,5.16,1.91,142.21,0.53,ISS1846,Task,Low,2.48,7.75,Update UI,13.54,42.19,39.62,2.24,1.39,0.2,Update UI,User request,Testing,9.58,6.09,Alice,12.18
SP5538,35,53.65,29.51,55.0,8.06,46.54,2.35,2.8,0.4,Frank,35.45,43.62,51.77,5.55,0.0,110.79,0.19,ISS7959,Story,High,4.35,5.88,Fix bug,11.02,44.98,31.86,2.71,2.36,0.52,Code cleanup,User request,Refactor,1.0,3.13,David,22.12
SP3362,14,63.22,55.87,88.37,3.81,58.68,1.54,6.0,0.74,Eve,30.47,49.43,45.82,7.18,1.79,136.19,0.47,ISS4086,Task,Low,3.99,4.36,Add feature,6.33,37.74,41.75,0.39,3.93,0.16,Develop feature,User request,Bug,20.89,7.09,Alice,17.21
SP3224,17,54.88,41.31,75.27,7.87,54.62,1.25,3.87,0.57,Bob,34.05,36.25,56.89,5.1,2.71,127.71,0.33,ISS4283,Task,Low,11.14,5.5,Fix bug,13.58,39.61,38.83,0.52,2.6,0.19,Refactor module,Performance issue,Backend,1.0,1.0,Frank,10.21
SP7371,36,29.2,21.66,74.18,10.83,41.69,2.88,0.77,0.55,Carol,38.58,32.31,40.27,3.25,2.56,175.17,0.53,ISS4323,Task,Medium,1.0,2.44,Update UI,1.0,40.7,48.11,1.86,2.05,0.08,Develop feature,Performance issue,Performance,6.47,6.99,Frank,10.13
SP2726,40,31.74,17.1,53.88,2.87,67.33,3.86,5.5,0.39,Bob,34.48,75.62,47.86,6.73,2.38,134.95,0.47,ISS1445,Task,High,7.97,5.28,Performance fix,15.48,47.15,43.1,3.86,6.28,0.44,Develop feature,Performance issue,Backend,1.61,7.11,Eve,19.24
SP6791,4,54.42,42.14,77.43,4.49,35.65,1.62,4.23,0.48,Henry,53.55,77.38,50.11,3.64,1.18,89.92,0.28,ISS2025,Task,Low,1.18,7.0,Refactor code,4.01,30.07,33.94,2.11,0.29,0.0,Improve performance,Performance issue,Backend,5.29,5.13,Grace,20.92
SP9073,2,36.21,31.08,85.83,1.54,58.68,0.73,1.5,0.79,Alice,63.9,57.18,41.7,5.35,1.87,143.45,0.4,ISS2359,Bug,Low,2.26,5.27,Update UI,8.58,49.84,27.95,5.52,0.5,0.35,Improve performance,New module,Performance,3.99,5.95,Bob,17.02
SP9458,6,64.33,32.24,50.12,2.84,58.02,2.9,-4.86,0.48,Alice,46.9,40.47,28.93,3.73,2.46,112.67,0.44,ISS9210,Bug,High,6.58,8.68,Update UI,14.68,52.85,43.72,3.1,1.19,0.29,Database migration,Regression fix,Feature,23.1,8.93,Eve,22.81
SP8013,4,54.64,30.95,56.64,3.16,65.97,0.37,8.31,0.59,Eve,41.87,68.43,60.36,5.8,1.94,145.15,0.42,ISS7113,Story,Low,10.0,6.09,Refactor code,12.89,58.75,35.33,2.48,8.0,0.65,Update UI,Performance issue,Refactor,4.93,14.26,Eve,11.76
SP1837,29,24.26,18.51,76.3,2.68,66.26,1.68,1.15,0.65,Eve,30.64,63.4,38.82,6.21,4.1,163.92,0.61,ISS9752,Story,High,7.92,10.27,Add feature,27.29,42.5,33.66,3.34,2.55,0.39,Code cleanup,Critical bug,Bug,3.7,4.38,Bob,18.22
SP5584,18,78.34,27.72,35.38,7.53,47.27,1.68,6.81,0.2,Grace,37.61,52.38,40.77,4.51,2.5,140.59,0.39,ISS1471,Task,Medium,1.97,3.4,Add feature,5.65,46.85,29.22,1.88,1.99,0.35,Code cleanup,User request,DevOps,4.94,9.03,Frank,18.93
SP1686,26,44.51,11.32,25.43,-1.64,50.49,3.12,3.43,0.22,David,50.75,57.09,37.3,8.28,1.7,132.66,0.55,ISS1027,Task,Medium,4.4,4.94,Add feature,9.78,37.2,49.8,5.66,5.89,0.46,Develop feature,Regression fix,Bug,9.73,1.0,Henry,23.75
SP1356,34,46.86,27.42,58.51,4.08,49.49,3.48,5.17,0.61,Carol,58.42,59.0,36.56,7.45,3.66,146.95,0.55,ISS9751,Task,Low,2.27,1.0,Write tests,4.15,62.46,27.85,1.59,3.83,0.77,Database migration,Critical bug,Testing,2.04,9.2,David,4.8
SP5647,10,56.34,49.44,87.75,3.83,76.18,1.18,2.96,0.64,Alice,33.54,55.11,46.89,5.93,1.87,128.27,0.32,ISS4236,Story,High,3.73,8.75,Fix bug,18.31,37.18,40.63,0.54,8.0,0.47,Code cleanup,Regression fix,Bug,2.69,4.62,Alice,17.79
SP5418,36,48.7,30.65,62.94,2.59,59.76,3.59,9.71,0.5,Henry,58.12,51.64,27.5,3.66,5.07,117.4,0.5,ISS4948,Bug,High,5.71,3.41,Performance fix,15.07,46.45,47.45,2.19,3.49,0.18,Improve performance,Tech debt,Performance,2.1,9.17,Eve,19.36
SP7642,14,64.42,52.58,81.62,6.47,65.66,0.79,4.98,0.65,Carol,34.83,64.76,24.25,6.67,0.62,153.42,0.57,ISS7172,Story,Low,1.0,10.53,Refactor code,9.73,66.91,32.37,4.26,1.58,0.6,Resolve blocker,User request,Testing,14.3,10.88,Frank,12.52
SP4391,31,34.73,14.32,41.23,6.4,46.23,2.06,5.9,0.41,Bob,56.27,44.69,41.97,5.52,0.21,123.93,0.12,ISS2979,Story,High,18.99,1.0,Refactor code,31.47,54.32,35.67,1.68,4.85,0.43,Add unit tests,User request,Security,3.93,12.17,Eve,7.51
SP5357,15,67.21,46.06,68.53,4.14,33.1,2.53,-0.75,0.48,David,32.18,40.52,44.55,3.89,4.42,103.33,0.41,ISS5921,Bug,High,4.77,3.94,Fix bug,13.8,23.89,20.35,0.74,1.75,0.17,Security patch,User request,Bug,5.04,4.58,Bob,17.69
SP5879,8,60.21,45.74,75.97,4.94,35.97,0.71,9.59,0.44,David,53.19,33.12,31.69,7.73,0.59,128.82,0.25,ISS3326,Bug,Low,3.5,10.37,Update UI,10.44,43.29,25.61,1.45,5.9,0.68,Refactor module,Performance issue,Feature,1.0,3.25,David,16.96
SP6319,14,38.38,32.53,84.76,3.85,65.19,1.06,-2.03,0.66,Bob,36.65,39.46,31.12,5.11,2.22,116.52,0.39,ISS3330,Bug,High,3.89,8.66,Performance fix,12.82,47.65,49.14,2.75,7.94,0.38,Database migration,Performance issue,Bug,26.48,7.34,Eve,10.37
SP3739,23,53.77,32.69,60.8,5.87,39.03,1.29,9.93,0.54,Alice,70.7,66.14,34.31,5.75,3.44,161.63,0.58,ISS8646,Bug,Medium,10.8,1.0,Add feature,15.11,31.55,23.76,2.96,3.47,0.37,Fix bug,Performance issue,Backend,1.8,6.42,Alice,16.14
SP5784,40,68.18,55.3,81.11,8.72,97.93,2.68,-1.3,0.61,Frank,48.68,69.32,56.71,6.43,4.55,108.59,0.5,ISS2002,Story,Medium,1.0,7.18,Fix bug,9.25,71.73,35.15,3.35,2.43,0.67,Add unit tests,Regression fix,Feature,7.94,10.39,Carol,13.34
SP1877,21,57.82,10.83,18.73,7.2,43.92,3.66,11.82,0.31,David,31.51,57.23,45.7,4.17,2.96,121.56,0.39,ISS7448,Bug,Medium,14.14,3.31,Update UI,18.91,23.05,39.51,1.81,1.85,0.14,Develop feature,User request,UI,11.42,6.98,Eve,5.62
SP3870,16,52.21,40.45,77.48,10.71,55.27,3.52,5.85,0.64,Bob,44.36,59.08,28.31,4.38,1.16,154.56,0.6,ISS7837,Task,High,1.58,8.39,Write tests,6.67,56.11,29.21,1.0,1.0,0.42,Develop feature,Regression fix,Refactor,9.95,8.67,Eve,19.02
SP1292,18,59.34,45.85,77.27,6.52,55.24,3.87,2.29,0.62,Frank,49.9,28.05,36.75,8.93,1.67,134.19,0.33,ISS7467,Bug,Medium,7.04,4.65,Refactor code,17.41,44.44,30.9,2.98,1.18,0.32,Load testing,New module,UI,11.06,3.87,Alice,13.61
SP9728,24,60.6,23.97,39.55,-1.51,52.69,1.26,-0.73,0.43,Eve,42.11,44.94,31.81,6.33,4.14,172.5,0.66,ISS8354,Story,Low,4.88,8.18,Fix bug,13.38,35.23,43.43,2.71,3.6,0.23,Develop feature,Regression fix,UI,7.29,6.63,Grace,20.82
SP3686,26,42.41,9.19,21.67,5.93,31.7,8.0,4.89,0.37,Bob,47.66,38.66,16.34,4.95,0.8,134.16,0.49,ISS3529,Bug,Medium,8.64,1.96,Performance fix,15.93,53.11,27.8,2.2,2.43,0.55,Load testing,User request,Security,4.18,7.97,Bob,12.75
SP1233,25,52.35,41.87,79.98,1.78,53.72,2.3,6.71,0.55,Alice,30.41,46.35,40.86,1.98,0.09,166.17,0.52,ISS2430,Story,High,1.0,5.38,Refactor code,4.88,39.81,33.28,3.71,3.59,0.34,Security patch,New module,Backend,6.57,3.3,Grace,12.75
SP3374,29,62.73,32.61,51.98,7.94,53.58,4.54,5.4,0.25,Henry,42.55,59.35,50.39,2.21,3.15,130.37,0.42,ISS4912,Task,High,10.18,6.97,Refactor code,16.95,72.27,28.65,1.66,1.67,0.62,Security patch,New module,Refactor,1.47,4.25,Carol,22.59
SP3272,15,51.99,13.84,26.62,3.18,45.51,4.28,2.5,0.22,Carol,26.34,73.49,41.24,6.13,2.66,147.79,0.51,ISS2532,Story,High,6.31,3.22,Fix bug,14.2,51.17,30.47,0.62,2.15,0.32,Security patch,Regression fix,UI,3.25,7.04,David,23.22
SP1966,1,39.24,36.11,92.02,0.02,77.77,1.13,0.17,0.72,Bob,41.76,54.24,26.35,4.68,3.76,89.52,0.52,ISS2892,Bug,Medium,9.05,5.05,Add feature,14.16,51.11,51.89,1.35,4.36,0.21,Develop feature,User request,UI,15.36,10.98,Bob,2.4
SP1889,25,54.2,25.88,47.75,5.01,25.07,1.33,9.6,0.5,Bob,69.38,30.68,52.86,5.79,5.23,116.71,0.44,ISS2421,Bug,Low,4.02,10.66,Update UI,10.3,44.89,25.16,1.4,2.5,0.42,Refactor module,Tech debt,DevOps,1.02,8.92,Grace,16.54
SP4863,7,44.14,26.78,60.67,3.17,27.33,1.71,2.25,0.5,Henry,47.82,54.61,29.71,5.21,2.36,114.81,0.35,ISS9582,Bug,High,10.56,7.25,Add feature,26.17,26.87,52.88,0.57,1.63,0.06,Develop feature,User request,Refactor,1.16,4.85,Eve,14.83
SP7154,9,58.73,41.06,69.91,5.27,61.31,1.06,5.16,0.69,David,31.27,70.16,40.56,6.54,4.03,97.8,0.45,ISS6768,Bug,High,9.05,1.0,Update UI,17.78,20.23,26.23,1.59,2.99,0.06,Database migration,User request,Refactor,1.0,9.12,Alice,17.49
SP4400,24,71.4,57.63,80.71,5.05,48.69,1.55,6.99,0.36,Grace,40.85,27.26,26.16,6.11,2.09,140.51,0.45,ISS3818,Bug,Low,1.11,5.3,Add feature,1.0,51.35,24.01,1.52,5.37,0.68,Update UI,Critical bug,Bug,12.12,3.67,Eve,11.29
SP9226,1,60.16,55.83,92.8,5.09,36.8,0.35,-1.89,0.61,Carol,39.48,63.3,61.75,8.78,1.9,155.38,0.32,ISS6617,Task,Medium,20.42,8.61,Update UI,25.64,56.09,32.63,0.3,2.8,0.45,Database migration,Tech debt,DevOps,9.22,9.52,Grace,18.31
SP5542,8,37.64,24.95,66.29,5.12,52.93,1.63,3.19,0.63,Eve,65.94,41.11,42.04,5.48,2.08,125.07,0.4,ISS2195,Bug,Medium,21.4,4.52,Write tests,31.43,32.84,25.97,1.86,0.51,0.12,Refactor module,User request,Performance,6.66,13.75,David,2.0
SP4523,24,54.53,45.08,82.67,6.62,64.39,1.37,10.05,0.65,Frank,31.89,70.0,29.91,4.13,0.74,136.15,0.56,ISS7229,Bug,Medium,24.44,7.68,Update UI,34.98,41.18,40.7,0.89,2.87,0.15,Improve performance,Tech debt,UI,1.0,2.7,Grace,26.36
SP2763,11,11.3,0.0,0.0,4.53,25.54,3.14,4.99,0.09,Henry,40.49,44.86,42.21,4.57,4.4,118.91,0.37,ISS6305,Task,High,1.0,9.01,Update UI,9.54,51.12,40.92,5.08,2.13,0.27,Load testing,Regression fix,UI,7.05,9.63,Eve,14.83
SP4291,17,48.51,40.23,82.93,3.63,60.84,1.24,6.06,0.69,Grace,32.29,66.02,36.4,4.77,3.08,179.8,0.53,ISS9077,Bug,High,8.27,1.79,Update UI,15.8,29.15,27.11,0.83,1.91,0.14,Improve performance,Tech debt,DevOps,5.17,5.95,Carol,17.7
